Noise,Run,Embed,Method,AUC
0.001,0,3,CCM,0.5686974789915966
0.001,0,3,PCM,0.5652048319327732
0.001,0,3,CMC,0.8040441176470589
0.001,0,3,DCMC,0.7969012605042017
0.001,0,4,CCM,0.5663340336134454
0.001,0,4,PCM,0.566281512605042
0.001,0,4,CMC,0.8195903361344539
0.001,0,4,DCMC,0.8132615546218488
0.001,0,5,CCM,0.6146271008403361
0.001,0,5,PCM,0.6132352941176471
0.001,0,5,CMC,0.8419905462184875
0.001,0,5,DCMC,0.8371060924369748
0.001,0,6,CCM,0.6101628151260504
0.001,0,6,PCM,0.5899422268907563
0.001,0,6,CMC,0.8627626050420167
0.001,0,6,DCMC,0.8744485294117647
0.001,0,7,CCM,0.6078518907563025
0.001,0,7,PCM,0.5946953781512605
0.001,0,7,CMC,0.8736869747899161
0.001,0,7,DCMC,0.8814338235294117
0.001,0,8,CCM,0.6188025210084034
0.001,0,8,PCM,0.6057773109243697
0.001,0,8,CMC,0.8767069327731091
0.001,0,8,DCMC,0.8809348739495798
0.001,0,9,CCM,0.6017331932773109
0.001,0,9,PCM,0.5762079831932773
0.001,0,9,CMC,0.8842174369747899
0.001,0,9,DCMC,0.889233193277311
0.001,0,10,CCM,0.5804884453781514
0.001,0,10,PCM,0.5392331932773109
0.001,0,10,CMC,0.8895483193277309
0.001,0,10,DCMC,0.8952468487394958
0.001,1,3,CCM,0.4591486376725984
0.001,1,3,PCM,0.46099460976150036
0.001,1,3,CMC,0.782082994905117
0.001,1,3,DCMC,0.7679059292623497
0.001,1,4,CCM,0.4155652366536218
0.001,1,4,PCM,0.42182308203499963
0.001,1,4,CMC,0.8279923207561102
0.001,1,4,DCMC,0.8266632208521006
0.001,1,5,CCM,0.4498633980654213
0.001,1,5,PCM,0.446909842723178
0.001,1,5,CMC,0.8408033670530902
0.001,1,5,DCMC,0.8348039577641586
0.001,1,6,CCM,0.4204755224101012
0.001,1,6,PCM,0.4178911614856384
0.001,1,6,CMC,0.8381636269659604
0.001,1,6,DCMC,0.8533005980949567
0.001,1,7,CCM,0.4638004873366315
0.001,1,7,PCM,0.45311230894188886
0.001,1,7,CMC,0.8371668020379532
0.001,1,7,DCMC,0.8594661448718894
0.001,1,8,CCM,0.4490511703463043
0.001,1,8,PCM,0.4451377095178321
0.001,1,8,CMC,0.8363361145979472
0.001,1,8,DCMC,0.855238868788304
0.001,1,9,CCM,0.429446946762165
0.001,1,9,PCM,0.4261611164439194
0.001,1,9,CMC,0.8362253562726133
0.001,1,9,DCMC,0.8422432252824338
0.001,1,10,CCM,0.3922875286125674
0.001,1,10,PCM,0.3730524994462084
0.001,1,10,CMC,0.8273277708041055
0.001,1,10,DCMC,0.8328841467917004
0.001,2,3,CCM,0.4404589371980676
0.001,2,3,PCM,0.43852657004830914
0.001,2,3,CMC,0.789175724637681
0.001,2,3,DCMC,0.7838315217391305
0.001,2,4,CCM,0.44180253623188404
0.001,2,4,PCM,0.44468599033816425
0.001,2,4,CMC,0.8242149758454106
0.001,2,4,DCMC,0.8152173913043478
0.001,2,5,CCM,0.45862016908212555
0.001,2,5,PCM,0.45615942028985507
0.001,2,5,CMC,0.8298309178743961
0.001,2,5,DCMC,0.836292270531401
0.001,2,6,CCM,0.42845712560386473
0.001,2,6,PCM,0.42338466183574885
0.001,2,6,CMC,0.8318840579710146
0.001,2,6,DCMC,0.8264039855072464
0.001,2,7,CCM,0.439945652173913
0.001,2,7,PCM,0.43336352657004834
0.001,2,7,CMC,0.81868961352657
0.001,2,7,DCMC,0.8196256038647343
0.001,2,8,CCM,0.4594655797101449
0.001,2,8,PCM,0.45163043478260867
0.001,2,8,CMC,0.8256793478260871
0.001,2,8,DCMC,0.8166515700483091
0.001,2,9,CCM,0.45667270531400966
