Net,Nolds,Method,AUROC
1,10,GC,0.6088888888888889
1,10,TE,0.7262222222222222
1,10,CCM,0.6808888888888889
1,10,PCM,0.6391111111111111
1,10,CMC,0.7733333333333333
1,10,DCMC,0.7377777777777779
2,10,GC,0.6393581081081081
2,10,TE,0.6254222972972974
2,10,CCM,0.6461148648648649
2,10,PCM,0.6739864864864865
2,10,CMC,0.6921452702702702
2,10,DCMC,0.7402871621621621
3,10,GC,0.7102222222222222
3,10,TE,0.6
3,10,CCM,0.7013333333333334
3,10,PCM,0.712
3,10,CMC,0.7057777777777778
3,10,DCMC,0.6844444444444444
4,10,GC,0.7052947052947054
4,10,TE,0.563936063936064
4,10,CCM,0.6103896103896104
4,10,PCM,0.5814185814185815
4,10,CMC,0.6853146853146852
4,10,DCMC,0.7092907092907093
5,10,GC,0.8643162393162394
5,10,TE,0.7243589743589742
5,10,CCM,0.7094017094017094
5,10,PCM,0.6805555555555556
5,10,CMC,0.7895299145299146
5,10,DCMC,0.8066239316239316
6,100,GC,0.7512802204480012
6,100,TE,0.6094340151826784
6,100,CCM,0.7418243521184696
6,100,PCM,0.732144109233013
6,100,CMC,0.7279303667589094
6,100,DCMC,0.7289625481470401
7,100,GC,0.67510244064019
7,100,TE,0.5490377217085106
7,100,CCM,0.6695184010313349
7,100,PCM,0.6612732142953744
7,100,CMC,0.6941228804972246
7,100,DCMC,0.695460112130212
8,100,GC,0.7020298815043792
8,100,TE,0.6214914331761318
8,100,CCM,0.6980065786866406
8,100,PCM,0.7005572068323227
8,100,CMC,0.7208824423043898
8,100,DCMC,0.7272830552583257
9,100,GC,0.6768290028414496
9,100,TE,0.5579347078012443
9,100,CCM,0.6444333462630951
9,100,PCM,0.6430617806189557
9,100,CMC,0.6920407126075938
9,100,DCMC,0.6971540012884109
10,100,GC,0.6592053915474705
10,100,TE,0.566899801489337
10,100,CCM,0.6925321238719349
10,100,PCM,0.6779365993559479
10,100,CMC,0.7314498751235021
10,100,DCMC,0.7261657764200932
